id_jadwal,nama_kereta,nomor_kereta,stasiun_asal,stasiun_tujuan,tanggal_berangkat,jam_berangkat,jam_tiba,kelas,harga_tiket,status
JKA00966,UNKNOWN,KA416,Surabaya Pasarturi,Bandung,2024-03-18,17:00:00,18:50:00,UNKNOWN,751305,Waiting
JKA00100,UNKNOWN,KA488,Solo Balapan,Bandung,2025-01-17,14:45:00,22:15:00,Bisnis,70519,Terlambat
JKA00268,Jayabaya,KA373,Purwokerto,Bandung,2025-01-29,16:00:00,13:20:00,Eksekutif,75500,Waiting
JKA02966,Jayabaya,KA198,Surabaya Pasarturi,Bandung,2024-04-18,21:40:00,05:45:00,Ekonomi,147148,Dibatalkan
JKA02384,Kahuripan,KA525,Semarang Tawang,Bandung,2024-01-24,21:10:00,15:45:00,Eksekutif,252595,Waiting
JKA00045,Kertajaya,KA336,Jember,Bandung,2025-04-10,21:55:00,18:30:00,Eksekutif,,Terlambat
JKA00481,Matarmaja,KA606,Yogyakarta,Bandung,2024-05-15,13:25:00,12:55:00,Bisnis,196950,Dibatalkan
JKA02400,Pasundan,KA149,Jakarta Kota,Bandung,2024-09-27,22:45:00,10:20:00,Ekonomi,751926,Dibatalkan
JKA02642,Argo Parahyangan,KA645,Malang,Bandung,2025-01-25,04:15:00,20:10:00,Bisnis,46980,Waiting
JKA02717,Argo Bromo Anggrek,KA822,Malang,Bandung,2024-10-02,08:25:00,00:45:00,Eksekutif,299380,Tepat Waktu
JKA02342,Argo Bromo Anggrek,KA44,Jakarta Kota,Bandung,2025-06-04,00:50:00,00:00:00,Bisnis,95902,Terlambat
JKA02348,Argo Bromo Anggrek,KA88,Jakarta Kota,Bandung,2025-06-26,05:50:00,15:45:00,Ekonomi,148376,Terlambat
JKA01808,Argo Bromo Anggrek,KA767,Jember,Bandung,2025-03-25,01:30:00,08:15:00,Ekonomi,752739,Terlambat
JKA01034,Argo Bromo Anggrek,KA308,Semarang Tawang,Bandung,2024-08-01,09:50:00,17:30:00,Bisnis,103739,Tepat Waktu
JKA00096,Argo Bromo Anggrek,KA268,Madiun,Bandung,2025-05-05,22:45:00,12:15:00,Eksekutif,201236,Dibatalkan
JKA00744,Argo Parahyangan,KA725,Malang,Bandung,2024-09-15,00:55:00,18:15:00,Eksekutif,749416,Waiting
JKA00129,Argo Parahyangan,KA607,Surabaya Pasarturi,Bandung,2024-02-14,16:30:00,14:55:00,Ekonomi,78280,Tepat Waktu
