id_jadwal,nama_kereta,nomor_kereta,stasiun_asal,stasiun_tujuan,tanggal_berangkat,jam_berangkat,jam_tiba,kelas,harga_tiket,status
JKA02526,Argo Parahyangan,KA296,Bandung,Cirebon,22-10-2024,13.05,17:05,Bisnis ,70191,TERLAMBAT
JKA01563,Malabar,KA234,Purwokerto,Pasar Senen,2025-01-03,16.30,13:05,Bisnis ,199474,TERLAMBAT
JKA01099,BRANTAS,KA347,Kediri,Gambir,2024-05-24,17:30,02:20:00, Eksekutif,Rp50.236,
JKA00575,Sembrani,KA936,Jakarta Kota,Surabaya Gubeng,15 Jan 2025,1:10,19.15,eksekutif,750074,-
jka01310,Bengawan,KA231,Malang,Jakarta Kota,15-04-2024,05:00:00,14:50,Bisnis ,52721,Terlambat
JKA02494,Serayu,KA844,Cirebon,Jakarta Kota,2025-01-25,02:25,02:35,Bisnis ,502182,Tepat Waktu
JKA00447,Serayu,KA723,Cirebon,Madiun,18 Feb 2025,12:05,23.55,eksekutif,147802,Dibatalkan
JKA02298,Tawang Jaya,KA216,Surabaya Gubeng,Malang,24/02/2025,05.30,19:20,Bisnis ,247107,TERLAMBAT
JKA00430,Turangga,KA925,Semarang Tawang,Kediri,20 Apr 2025,20:55:00,0:25,EKONOMI,199384,
JKA02263,Matarmaja,KA266,Gambir,Purwokerto,09-06-2024,09:10:00,01:00:00,Bisnis,504423,TERLAMBAT
JKA01772,  Joglosemarkerto  ,KA987,Solo Balapan,Purwokerto,2025-05-20,20:50:00,06:15,Eksekutif,746131,Tepat Waktu
JKA00269,Serayu,KA434,Kediri,Surabaya Gubeng,21-05-2024,07:40,20:35, Eksekutif,150250,-
JKA01418,Malabar,,Semarang Tawang,Jakarta Kota,01-09-2024,14.20,20:00,Ekonomi,50972,TERLAMBAT
JKA02192,Sembrani,KA667,Cirebon,Malang,14-06-2024,10:45:00,18:40,Bisnis,200568,
JKA02414,Kahuripan,KA696,Jakarta Kota,Bandung,19 Mar 2024,01.55,21:35,EKONOMI,97375,Dibatalkan
JKA01453,Argo Parahyangan,KA992,Yogyakarta,Malang,15/10/2024,02:10:00,13.30,eksekutif,47875,tepat waktu
JKA00453,Bima,KA255,Jakarta Kota,Jember,28/07/2025,02.55,4:55,eksekutif,Rp746.322,Dibatalkan
JKA02037,Gajayana,KA729,Pasar Senen,Madiun,10/11/2024,11:00:00,9:15,Eksekutif,154745,-
JKA01527,Gaya Baru Malam,KA469,Purwokerto,Pasar Senen,05-03-2025,17:25:00,08:45, Eksekutif,70894,tepat waktu
JKA02852,Lodaya,KA279,Kediri,Malang,28/04/2025,10.40,01:00, Eksekutif,Rp298.063,
JKA01980,Serayu,KA256,Solo Balapan,Surabaya Gubeng,25/02/2024,10:35,21:40,EKONOMI,70930,tepat waktu
JKA01103,Brantas,KA144,Jakarta Kota,Cirebon,19 Mar 2025,06:45:00,19.40,Bisnis,79137,Dibatalkan
JKA00150,Argo Bromo Anggrek,KA990,Surabaya Pasarturi,Madiun,08 Oct 2024,12:25:00,08:15:00,Ekonomi,Rp501.506,-
JKA00313,Malabar,KA489,Kediri,Yogyakarta,04/08/2024,02.55,21:05:00,EKONOMI,Rp45.095,-
JKA01954,  Turangga  ,KA832,Cirebon,Jakarta Kota,11/07/2025,00:35,0:00,eksekutif,400726,Terlambat
JKA01832,Bima,KA446,Surabaya Pasarturi,Madiun,15/09/2024,06:05:00,17:10:00,Bisnis,50764,tepat waktu
